Protein_000,Protein_001,Protein_002,Protein_003,Protein_004,Protein_005,Protein_006,Protein_007,Protein_008,Protein_009,Protein_010,Protein_011,Protein_012,Protein_013,Protein_014,Protein_015,Protein_016,Protein_017,Protein_018,Protein_019,Protein_020,Protein_021,Protein_022,Protein_023,Protein_024,Protein_025,Protein_026,Protein_027,Protein_028,Protein_029,Protein_030,Protein_031,Protein_032,Protein_033,Protein_034,Protein_035,Protein_036,Protein_037,Protein_038,Protein_039,Protein_040,Protein_041,Protein_042,Protein_043,Protein_044,Protein_045,Protein_046,Protein_047,Protein_048,Protein_049,Protein_050,Protein_051,Protein_052,Protein_053,Protein_054,Protein_055,Protein_056,Protein_057,Protein_058,Protein_059,Protein_060,Protein_061,Protein_062,Protein_063,Protein_064,Protein_065,Protein_066,Protein_067,Protein_068,Protein_069,Protein_070,Protein_071,Protein_072,Protein_073,Protein_074,Protein_075,Protein_076,Protein_077,Protein_078,Protein_079,Protein_080,Protein_081,Protein_082,Protein_083,Protein_084,Protein_085,Protein_086,Protein_087,Protein_088,Protein_089,Protein_090,Protein_091,Protein_092,Protein_093,Protein_094,Protein_095,Protein_096,Protein_097,Protein_098,Protein_099,Protein_100,Protein_101,Protein_102,Protein_103,Protein_104,Protein_105,Protein_106,Protein_107,Protein_108,Protein_109,Protein_110,Protein_111,Protein_112,Protein_113,Protein_114,Protein_115,Protein_116,Protein_117,Protein_118,Protein_119,Protein_120,Protein_121,Protein_122,Protein_123,Protein_124,Protein_125,Protein_126,Protein_127,Protein_128,Protein_129,Protein_130,Protein_131,Protein_132,Protein_133,Protein_134,Protein_135,Protein_136,Protein_137,Protein_138,Protein_139,Protein_140,Protein_141,Protein_142,Protein_143,Protein_144,Protein_145,Protein_146,Protein_147,Protein_148,Protein_149,Protein_150,Protein_151,Protein_152,Protein_153,Protein_154,Protein_155,Protein_156,Protein_157,Protein_158,Protein_159,Protein_160,Protein_161,Protein_162,Protein_163,Protein_164,Protein_165,Protein_166,Protein_167,Protein_168,Protein_169,Protein_170,Protein_171,Protein_172,Protein_173,Protein_174,Protein_175,Protein_176,Protein_177,Protein_178,Protein_179,Protein_180,Protein_181,Protein_182,Protein_183,Protein_184,Protein_185,Protein_186,Protein_187,Protein_188,Protein_189,Protein_190,Protein_191,Protein_192,Protein_193,Protein_194,Protein_195,Protein_196,Protein_197,Protein_198,Protein_199,Protein_200,Protein_201,Protein_202,Protein_203,Protein_204,Protein_205,Protein_206,Protein_207,Protein_208,Protein_209,Protein_210,Protein_211,Protein_212,Protein_213,Protein_214,Protein_215,Protein_216,Protein_217,Protein_218,Protein_219,Protein_220,Protein_221,Protein_222,Protein_223,Protein_224,Protein_225,Protein_226,Protein_227,Protein_228,Protein_229,Protein_230,Protein_231,Protein_232,Protein_233,Protein_234,Protein_235,Protein_236,Protein_237,Protein_238,Protein_239,SampleID
8.2924,7.1298,9.2307,8.4142,6.8576,7.8754,8.1206,7.9044,6.897,,9.0807,7.9216,6.9082,7.4631,8.6958,9.0429,8.1175,8.3892,6.7859,9.0286,7.6023,8.7397,8.4008,7.5012,7.3667,8.6641,8.4824,8.3096,10.332,8.8504,6.6058,9.7943,7.4886,8.3538,5.5277,7.842,8.6632,7.5954,8.0314,7.6912,7.243,7.577,8.0439,8.9415,7.8794,8.7198,8.5543,7.8451,6.5793,8.5275,7.1825,8.6097,7.047,9.4163,8.3461,7.952,8.2384,8.0433,8.0925,8.6005,8.5095,8.3103,8.8047,8.0514,8.0716,8.5954,8.568,8.2673,8.4187,8.0023,9.0098,7.3914,8.0983,5.76,9.0071,9.2726,8.5201,7.0424,7.2335,7.9994,7.8904,7.6573,7.8975,7.8066,8.0257,8.4066,8.9211,7.9345,8.0634,7.4522,8.0443,8.4697,8.2516,8.0316,9.3924,8.8281,7.3956,9.5217,6.8623,8.8043,7.2381,9.2823,7.1718,7.8801,8.3263,6.2617,9.5468,7.9832,8.0289,9.1661,7.6292,9.5112,8.094,7.8239,9.2676,8.7857,6.6855,8.574,6.8269,6.7243,6.6311,8.982,8.8821,7.3215,8.3663,9.9606,8.3994,7.6366,8.7458,8.3264,8.9455,8.3416,8.8932,8.0552,7.9816,9.6741,7.7846,8.9247,8.9892,8.1644,7.8502,6.8737,6.2019,9.4707,7.9149,8.2564,7.7711,6.46,6.3511,9.8038,7.131,7.8059,6.9189,8.6543,8.5244,8.8228,5.949,8.2184,7.0367,9.7206,7.6823,7.4933,8.8226,7.0467,6.8783,7.5753,7.8775,8.7794,7.8138,7.7642,9.3992,8.0479,6.5493,9.5683,8.7467,9.3618,8.7568,8.9095,7.3575,8.0373,7.6767,7.1085,8.3884,9.4052,8.3507,7.0781,7.3514,8.2304,8.3778,9.0221,8.8006,8.075,6.8348,8.8117,7.5952,9.727,7.0314,6.9631,7.4124,6.7625,6.4763,7.9254,6.6147,8.1034,8.6195,8.5023,7.8631,7.8484,8.433,8.9067,8.4087,7.7183,8.5174,9.1995,7.9541,7.3107,9.5529,6.2561,8.6144,6.8438,6.6846,7.8132,7.6611,6.7127,8.3446,7.1964,6.7783,7.281,6.8521,8.029,7.7393,8.0597,7.2694,7.9637,5.6277,8.2776,,9.296,9.4927,8.2496,S001
8.1125,8.407,8.5497,9.7698,9.2736,7.9969,8.865,8.0162,8.7703,7.8049,7.6619,7.9814,9.6609,9.0135,8.9213,9.8956,8.168,8.8768,8.8718,9.3833,9.3286,8.6106,8.9157,10.4981,8.2624,8.8909,8.5714,10.4943,8.3999,9.7809,7.1367,8.7649,8.352,9.0461,9.3189,7.8824,8.6445,9.48,7.2816,8.2671,7.4203,9.3777,8.6287,9.1976,9.0814,7.4327,9.6265,9.4409,10.4404,7.1763,10.5717,9.8419,10.4945,5.9081,7.8785,11.1857,7.2038,10.0306,7.5879,9.6638,9.1419,8.4188,8.5058,8.5306,6.4496,7.9847,8.465,6.3365,9.2525,7.6133,10.2275,7.6755,8.144,8.1101,9.0317,8.5947,7.4568,8.5032,8.5389,9.8053,8.5237,9.0401,9.4892,9.3765,10.1196,8.8195,8.8714,,8.3731,8.8052,9.16,10.293,6.7855,9.7936,7.9797,9.2059,8.331,9.2093,9.7925,8.0628,9.7682,7.9811,7.9453,9.6304,9.0142,7.7816,9.4489,8.127,9.0092,7.3338,7.6148,8.2335,8.135,7.6019,6.7734,7.484,9.1107,9.3605,8.7906,8.5008,8.156,8.4848,9.9255,10.2947,9.7991,7.6073,7.7545,7.5673,10.2756,9.345,7.5911,8.6273,8.272,9.2096,8.9317,8.5166,8.0435,7.587,9.5392,9.4802,9.4723,7.7988,8.9831,8.4084,7.6865,8.0003,8.1121,9.1146,8.8469,8.2375,7.7169,8.6454,8.2581,9.5481,7.2902,7.2171,7.2388,9.9443,10.122,7.4898,8.3523,9.0231,9.3806,7.7251,7.9624,10.333,10.1955,8.5944,8.4932,8.3131,8.7162,7.9591,8.9855,8.9325,8.2679,9.5231,8.0939,8.4352,8.7369,8.9441,7.5072,8.393,9.1633,7.4874,8.5529,8.3402,9.4682,7.6503,9.1591,7.8191,10.1353,8.26,10.0966,8.9885,8.7458,7.5242,9.6258,8.7424,8.725,7.4307,7.88,8.5204,9.3802,8.9423,9.1345,8.0523,7.5759,9.642,8.6772,8.9969,7.812,8.7282,8.6663,7.3287,9.8016,7.3847,7.9933,8.4165,11.2321,8.131,8.8122,9.0531,8.0281,8.5183,8.9137,8.9722,9.0785,8.1686,7.3991,8.1229,8.0117,8.6719,7.9297,7.9671,8.4802,8.1862,7.7431,8.9586,8.1789,9.3435,S002
8.113,8.9215,8.5633,8.0311,9.5636,8.5631,7.5421,9.9396,8.4572,9.3918,9.8291,8.4636,9.1724,8.498,7.5791,8.5489,9.4604,,8.2875,8.9317,9.1267,8.5768,9.535,9.5583,9.1581,9.8982,9.2141,7.0354,10.1002,8.4141,9.6909,10.4768,9.5678,7.6772,8.9666,8.3058,8.004,7.9146,7.9186,7.2125,8.9662,9.9726,8.1664,8.7884,10.2257,8.7728,9.3946,7.1921,7.1795,8.4911,9.0319,8.9475,9.6854,8.8886,8.6391,8.0217,9.6207,8.8983,6.848,9.3541,8.5874,7.8507,7.4283,8.4078,8.9337,8.1602,6.3973,8.1241,8.9782,8.3004,8.2796,9.8335,7.4689,8.8126,7.4101,7.7391,7.2048,8.2764,8.2189,10.0458,7.8796,7.0955,,6.793,7.2587,8.781,8.7971,7.7832,9.4774,8.2658,8.1746,8.1497,9.7572,7.4211,8.4968,9.2161,7.412,8.5537,9.0471,9.2836,7.9778,9.1353,8.171,7.9262,8.715,7.9458,7.6411,9.3222,9.4022,7.9917,8.2343,6.5551,9.4228,7.5973,8.0085,9.013,7.3782,8.7194,9.1683,7.9507,8.6208,8.0924,8.5961,,7.5806,8.3218,8.3143,8.7024,,8.6071,9.5121,7.9218,9.4786,9.3709,8.8575,10.9399,8.6369,,8.6919,8.6373,7.5048,9.3002,7.5538,8.9491,9.0427,9.7794,7.8309,7.8599,9.6543,8.5741,,9.0618,8.376,6.7144,7.6323,7.4561,8.4805,7.7813,8.5227,8.5838,9.1563,7.6027,8.3732,9.1336,7.6196,10.1539,7.1267,7.94,8.7869,6.8321,9.1504,6.963,7.6365,8.3659,8.312,8.2093,7.5707,8.7146,8.539,7.5397,7.2315,8.3953,9.4334,8.1284,7.7272,8.7504,9.0988,7.4038,9.1651,8.8192,8.0309,8.4366,7.8209,8.7999,7.5651,6.7716,9.6573,8.6833,9.1002,10.0325,9.0384,9.8178,7.9889,9.3615,7.0301,7.0244,8.0128,7.787,,7.3609,10.1988,8.1935,8.6932,7.7038,8.1475,8.7596,8.1045,8.357,8.3181,8.1717,8.9955,7.547,9.2107,8.4931,7.1985,8.2937,11.3352,9.8232,8.1458,8.2972,8.0054,7.2266,8.6324,9.2495,7.9455,7.6251,7.1184,7.8506,6.5896,7.8499,S003
7.4966,7.8415,6.9313,7.9216,8.5251,10.1793,7.0994,8.4568,8.3548,8.6983,7.4569,8.5136,9.3065,7.9794,7.9712,8.9884,6.8756,9.9894,8.717,8.649,8.4723,8.8531,9.3345,8.7636,7.6412,5.997,7.9451,8.8707,8.1107,8.7371,8.2184,8.251,8.3606,7.7051,8.6082,9.7774,7.0588,7.0925,,8.1261,8.3619,9.3627,8.4953,7.8388,8.489,8.354,8.1324,7.6724,8.5138,8.4637,8.8549,8.4548,8.3424,6.4856,7.3582,9.2264,6.209,7.4037,7.9973,7.8633,7.7862,7.7704,8.7653,7.587,7.1393,7.845,8.2492,8.6383,7.8479,8.5973,9.1722,8.6139,9.1714,9.0517,7.3964,7.7198,7.6159,8.3462,8.89,8.0459,9.7905,9.1885,8.7104,7.2805,9.0023,9.5411,8.6239,7.7077,9.1814,7.8986,8.5437,9.0125,8.3121,8.4379,8.2294,7.9889,9.7089,6.8566,9.7559,8.7557,8.2002,10.303,,9.4097,9.3963,7.2159,8.4909,9.2576,8.8807,9.3276,9.7689,8.0526,8.2192,7.5467,8.7177,7.0228,9.2706,8.3976,7.8569,7.8168,8.8339,8.9043,8.3774,9.979,9.4039,7.5905,7.9231,7.7902,8.8096,8.3449,8.9136,8.9478,8.9866,10.6905,8.8052,6.2399,8.5934,8.7169,8.9525,6.8525,8.5737,7.7322,7.5641,7.9407,9.9142,8.4959,7.7622,7.9906,9.1255,8.7609,8.6166,8.5323,8.238,9.2851,6.6503,9.0573,9.388,7.9799,9.3904,8.9819,7.4356,8.2899,8.4395,8.2366,7.4509,9.1861,,9.7527,8.3141,7.3057,9.1208,8.8096,8.2268,9.5149,10.2075,8.7785,9.2681,10.3718,10.2831,9.9386,8.0212,8.2377,8.4312,8.7756,,7.6724,7.9998,9.6249,5.9994,7.2179,10.3639,8.734,9.3286,7.8103,8.338,8.2667,8.609,5.7049,7.4058,9.5559,7.8624,9.14,8.0502,9.6565,9.3938,7.5112,7.8696,9.1423,7.0827,9.1023,7.8117,9.7076,8.2968,9.1064,8.5841,8.2466,7.1579,9.0677,9.3937,8.6405,10.4637,7.263,7.4646,6.7181,9.0269,8.917,9.5329,7.8065,9.209,7.1936,8.3512,8.8011,8.319,8.7063,8.4781,7.8913,8.2284,9.1607,8.3555,9.2828,S004
7.1772,7.9123,8.2787,10.8516,8.4385,7.588,8.1722,7.5648,9.0011,7.8961,6.8824,9.4176,8.1771,6.4765,,6.4747,8.3517,8.0406,8.5542,9.5917,8.4298,7.8528,10.1355,8.9538,8.2227,8.2576,7.8137,7.1645,7.9417,7.0395,9.9092,8.7709,,8.9961,8.5649,8.9004,8.445,9.5271,7.5025,8.2676,6.6201,9.6225,7.6912,7.137,9.9495,8.6125,7.7163,8.8942,9.4609,8.7645,7.3793,9.225,7.2677,8.407,6.8814,7.1545,7.4495,8.5704,8.254,10.2441,8.7009,8.1496,7.4317,8.8711,7.7357,7.9621,7.2838,8.9121,8.4309,7.6171,7.6498,8.2136,7.8576,7.7543,7.0033,8.2409,8.5115,9.7486,8.2723,7.8228,8.52,5.1146,7.8399,8.8443,9.7337,8.0951,8.3628,8.5746,7.9562,8.5339,9.6937,7.2323,7.8737,7.6017,8.5738,9.1421,8.4238,9.0908,6.5875,9.2437,10.1363,8.0714,9.4666,8.4571,9.552,9.2567,8.5215,8.361,8.1772,8.3876,7.7009,7.5524,8.769,6.9927,9.4092,7.0599,9.0174,7.9646,9.2544,10.1879,7.9155,8.7651,10.4476,9.6899,9.5219,7.3207,8.4362,7.9814,7.2707,7.0846,9.3323,7.978,8.1603,8.1916,7.8075,8.9951,9.2248,9.9819,10.0213,8.5023,8.5518,8.6438,8.7154,8.2688,9.5506,8.9654,8.8309,8.2811,8.2514,8.3672,8.9269,7.6475,9.0532,9.9625,8.2042,8.4717,8.6599,8.8447,8.3838,8.3025,7.5948,8.6624,7.7549,7.0445,9.1329,7.0964,7.6211,10.2562,7.075,,7.5287,8.2464,9.1454,8.534,,7.9453,7.9739,8.5124,8.473,7.5178,7.6004,6.8323,8.5702,8.145,7.5532,9.2341,8.7622,8.0466,8.078,9.7588,7.8474,8.3534,8.4875,7.3623,9.1147,7.7007,8.319,7.0833,8.3857,8.5085,8.2108,9.1689,,8.8473,8.0189,8.3869,8.362,6.771,8.2494,7.7719,7.5105,8.8808,7.4779,7.5096,7.7666,9.2938,9.5467,9.0139,7.8747,8.4278,9.0363,8.5293,7.3136,9.0623,8.442,6.8681,10.357,6.9926,7.2588,7.5483,7.6938,9.4482,7.8385,6.7535,9.0102,8.2013,6.2505,7.7845,8.8049,8.6444,S005
8.1058,8.1979,8.965,8.9524,7.8065,8.5071,7.5544,9.5791,9.9234,10.0184,8.9098,8.9284,8.1447,9.291,8.3191,9.4822,8.0188,9.0796,7.6161,8.5187,8.5096,5.7448,10.5013,7.1922,7.6157,7.7259,8.5748,6.0441,9.9394,8.3235,8.6552,7.5651,9.5385,9.0695,8.942,8.2266,8.5076,9.3158,9.7971,7.6355,7.9118,10.4871,8.7034,7.773,9.493,6.6677,9.3752,8.0933,9.1039,9.0454,8.2357,7.7953,8.0453,9.1695,8.2935,7.964,8.0671,8.8072,7.3567,8.5062,8.1532,9.9827,9.4488,9.3172,8.7021,7.1639,8.991,8.6582,9.1446,9.1,8.2322,8.9174,8.7836,9.956,8.383,7.6507,6.5686,9.3337,8.6335,9.936,7.7322,9.204,,8.794,7.1183,9.6106,7.9724,7.5076,7.4978,7.8215,7.9574,8.041,8.281,8.1316,7.9182,9.891,8.6489,8.4082,8.3129,7.7892,9.6766,8.8268,8.429,9.2736,8.5004,8.7603,9.4965,7.7856,8.2349,9.0661,8.0703,8.9815,9.0907,11.0384,8.968,8.37,7.3323,7.2129,8.1971,,6.6259,9.6405,8.8669,8.7172,8.1072,8.9555,8.1551,9.5175,8.5751,8.4074,9.478,10.0103,7.9722,8.6318,7.69,7.9091,8.9512,7.4731,8.6587,9.0442,9.9698,7.5259,8.1279,8.5512,8.1105,8.5693,8.8555,9.8612,9.5706,8.6494,8.2903,7.8068,7.4061,6.4765,6.8021,9.2789,8.586,8.8297,10.0981,10.1359,8.3535,8.0779,8.5519,8.1441,9.1502,8.3386,8.1371,8.988,8.8764,9.7126,5.814,10.4954,7.975,9.6641,7.425,8.2639,9.2677,9.1816,,8.5227,9.9442,6.7598,6.755,8.6244,8.4213,8.6655,6.7123,8.8411,9.577,9.9601,9.4035,8.9278,9.6086,7.7796,8.8708,9.309,9.1021,8.5593,8.6075,8.7199,8.9042,7.7377,8.7404,7.2925,9.0338,8.01,9.6176,7.4409,8.0741,7.472,8.6195,9.0255,7.568,9.8318,9.1251,8.6732,8.7065,8.3127,10.0122,8.7612,7.9327,6.9944,7.9975,8.048,8.6542,8.056,8.8293,8.2001,9.6429,9.217,7.1393,7.6718,8.4333,9.6188,9.4957,8.7813,8.8153,7.9014,8.0775,7.9994,S006
8.5361,8.4713,8.3048,9.2032,6.1962,6.5675,7.9139,7.5595,8.0261,8.515,7.7074,7.848,9.0475,9.6898,7.5382,8.3308,8.7383,8.3753,8.6069,6.3433,8.0807,8.4297,6.5207,8.6157,8.3274,7.7278,9.4128,8.9944,6.8909,9.9651,7.5583,9.3265,6.3483,7.6033,6.5697,9.4918,7.2411,8.0884,8.4564,8.0149,8.7797,8.4385,8.2987,8.7803,7.6644,7.7196,9.5255,8.2006,9.9877,8.1363,8.852,7.6366,8.7137,10.7879,7.566,8.2086,7.2504,7.4886,8.5938,9.9521,7.2354,8.1715,7.5862,7.5801,9.1004,9.1951,6.6382,9.1577,8.7687,8.4215,8.3248,9.5235,10.1579,,8.9175,8.6862,8.5568,8.7513,8.444,8.6238,9.2306,7.3241,8.2349,7.5216,9.4744,7.0097,8.5039,8.3023,7.2333,8.7517,8.4145,10.0323,8.7075,9.2256,8.3933,8.6681,8.4106,9.4404,8.2111,9.4074,8.8906,8.0258,9.3777,8.659,9.7085,9.0069,9.5091,8.0602,8.5166,8.1787,7.3885,8.4064,8.2941,8.7825,9.2482,10.3065,6.2826,5.6993,8.864,6.8282,8.5778,8.2614,7.9743,6.3682,6.5021,8.7434,7.3112,8.0782,7.7104,8.7205,8.9556,8.2933,8.7804,8.8492,7.4578,6.1726,8.4556,9.2149,9.1434,7.9663,10.5066,8.1199,6.8876,7.9465,7.8383,8.5503,8.3303,7.0587,8.0779,7.6771,8.4745,9.3633,8.2331,7.9294,9.1539,7.912,8.0327,8.8903,8.4363,7.3448,9.246,8.8443,7.1614,8.7354,7.752,8.8841,7.8401,8.5462,7.8814,9.6559,,7.4163,10.2724,8.2366,8.8966,7.9349,7.2677,8.3567,8.3153,6.6638,8.3824,9.0851,7.9986,8.8295,8.1583,8.3342,8.8261,8.1727,6.9123,7.9719,8.2938,7.1835,6.9761,8.4695,8.6644,8.1497,8.1864,8.4877,9.3352,7.9137,8.3316,8.3992,8.0288,8.147,8.3683,8.4256,9.1149,8.1399,8.9378,8.5691,7.3495,9.0863,8.2145,6.9964,7.814,8.0688,9.313,9.6755,7.5019,7.1512,9.6353,8.97,8.1161,7.0031,8.6318,8.7438,9.6085,7.5657,8.1776,7.6656,7.5772,8.8497,8.0855,8.1704,8.5088,8.4852,9.2623,10.1522,8.2958,7.6749,S007
8.2233,10.4528,7.9902,7.5127,8.5793,9.0419,6.3199,8.624,8.3568,8.9317,10.0447,10.0934,8.2888,10.1048,8.9641,8.8158,10.1752,8.7606,8.3384,10.0582,7.6379,9.7593,8.6624,8.8269,9.9547,9.014,8.6483,9.6882,7.5774,8.9751,8.4635,8.4906,8.482,9.026,10.5031,8.0323,10.2225,9.7727,7.9108,8.404,9.1223,7.705,6.5825,7.3728,8.7583,7.7537,7.5268,8.7854,6.1686,8.9675,8.6241,7.2605,7.3142,8.2725,7.7499,8.6008,7.4114,10.5063,7.8302,8.1417,8.8116,7.5223,9.5652,8.3842,8.8806,8.9383,6.9821,8.5972,7.926,8.8663,8.5698,9.5794,8.9888,8.2987,8.981,8.8388,8.5463,7.1157,8.0146,9.4223,7.8234,9.8815,8.3746,8.8986,8.3067,8.3278,9.2393,8.9827,7.7789,9.2092,8.9774,10.0766,10.0114,9.3743,9.0334,8.9754,10.2344,8.941,8.6313,8.876,9.2025,8.1904,8.1492,9.2605,8.5243,9.0378,8.0387,8.9725,8.857,6.9546,8.6641,9.7322,8.6306,8.2987,8.3669,7.6136,8.4372,9.6796,8.6321,5.8143,8.4584,9.1727,,7.842,8.4957,8.8583,8.5494,7.8431,7.6527,8.4031,8.7965,9.2881,6.4344,9.1551,9.7777,7.4809,6.8843,8.5553,8.8351,8.5025,8.7041,10.0548,9.0315,7.4263,,8.6551,8.1754,8.782,7.287,7.9829,8.0676,8.3596,9.9074,8.2193,7.5648,8.3929,8.7851,9.0902,7.5721,9.4428,10.0172,8.5138,9.1422,7.5905,9.4942,6.9608,8.5007,8.5864,7.5343,9.153,,8.7077,9.9589,8.2153,9.0443,10.0133,9.4102,8.4056,9.961,8.6085,8.4913,8.5236,9.1639,9.8764,8.3322,10.3196,12.3937,,7.5174,8.6978,9.39,8.3481,9.3681,7.6068,8.7375,7.5184,7.0759,8.0808,7.6681,9.1044,10.119,8.0939,6.9271,10.2403,9.274,7.993,9.069,8.8112,7.4533,7.9303,8.6428,8.2486,7.4295,9.0868,8.9028,8.0325,8.3137,9.0991,9.0277,8.8345,8.0799,8.3746,9.0021,9.1019,7.5861,,6.8973,8.6611,8.3958,9.2697,8.4586,7.3792,9.5627,10.3666,8.337,9.8094,8.7498,8.6496,10.5018,7.902,S008
8.6308,8.431,9.1164,7.7243,7.6267,9.1058,8.3464,8.0891,8.4485,10.7463,7.845,8.4735,9.2973,6.3495,8.3425,7.4108,7.9203,7.1662,7.3556,8.299,6.1884,7.5068,10.0644,9.26,9.4072,8.6325,8.509,8.5262,7.8086,9.0454,6.8142,9.0851,7.3,7.1528,9.5143,8.3781,9.1924,7.7566,8.7242,8.5878,7.8851,8.1579,9.3306,7.7966,9.1537,8.3019,8.527,7.6906,8.5447,8.5494,8.9884,7.5324,7.4056,7.3627,7.9834,9.0477,7.7811,5.9162,9.1935,8.8687,8.6234,8.1353,8.3419,9.8461,8.3658,9.8339,10.131,7.3178,10.7003,8.5828,7.8385,9.8455,8.4322,8.8467,8.6927,7.5065,7.1518,8.6916,8.7199,8.3663,8.1787,7.9817,9.0687,8.847,8.0703,8.8586,8.0571,7.517,8.5235,8.6356,7.2068,9.734,7.4019,8.4402,8.5951,10.539,9.3515,8.1712,7.6765,7.3276,8.6429,8.4385,8.1591,9.4928,8.1838,7.4485,8.9952,8.6695,8.6956,7.7376,8.5881,8.2719,8.3047,8.341,8.6978,9.8519,10.6011,6.7761,8.7638,9.09,8.2958,9.6758,9.5157,9.1975,7.9119,6.7291,8.0046,8.2149,8.5721,8.143,7.9762,8.3683,8.1271,7.094,7.8318,7.9328,8.1682,10.0095,7.8282,,8.1688,6.5208,8.4966,7.7103,8.8419,7.5355,8.4926,6.8474,8.9567,8.4336,8.1572,8.4603,11.3515,7.7929,9.0063,7.4602,7.5833,8.9992,8.3392,8.2358,9.4346,9.2585,7.9635,8.094,10.074,9.5584,8.16,9.1303,8.3474,8.0864,8.7886,8.028,9.0387,9.0619,8.6232,8.5047,8.1096,8.7722,8.4157,8.7654,8.023,9.1115,8.365,9.0897,7.99,8.7813,8.539,9.3881,8.1074,8.4335,7.8439,7.5172,9.0582,8.917,,8.2972,8.6999,7.8988,9.2175,9.3758,8.8638,7.3447,10.1827,7.4495,9.0161,9.2202,8.7431,8.5195,8.3286,9.3459,8.0804,8.8475,7.9157,9.4575,7.784,8.1633,8.4494,7.8381,8.4112,7.4288,7.2438,8.0352,7.3123,10.0784,7.517,6.5243,9.2964,9.4744,8.1042,8.8453,9.422,7.8998,8.73,8.7051,9.0981,8.3884,6.5534,8.1368,9.7563,9.3137,S009
7.8362,7.9764,7.6019,7.5351,9.0183,7.6263,7.3454,6.9669,6.8643,8.9325,6.2084,9.8513,9.361,6.7312,8.3995,8.638,6.6495,6.4417,7.6847,9.3479,7.8737,8.7325,8.5965,8.0654,9.1894,10.255,10.4584,7.9696,9.6178,8.1976,9.2183,8.3304,7.7944,8.6775,8.8719,8.0592,7.6866,8.9326,8.2369,8.8745,8.2448,7.4962,8.7056,8.387,7.722,8.6017,8.6042,7.7796,8.5094,7.6538,7.7105,9.1397,8.5985,7.6041,7.1222,8.8423,8.0893,8.2951,7.7533,7.7231,7.6214,8.1758,9.0492,9.1381,7.9484,6.9539,9.0837,9.7509,7.6226,8.1506,8.4045,8.6761,8.9453,7.6074,7.6884,9.1474,7.6249,9.9262,8.7004,8.4702,9.5114,7.209,8.4292,7.8988,8.9997,9.9932,8.6612,8.1506,7.5966,7.0755,7.2967,10.5469,8.8587,8.792,7.5971,8.9116,8.3226,8.406,8.8411,,5.9572,,9.7035,8.9716,8.1705,8.6695,8.4294,9.1243,9.6293,8.5312,7.176,7.8238,8.4208,7.8661,9.5167,8.749,6.8732,8.4674,7.1136,8.585,8.0584,9.1154,8.7193,8.9822,6.9283,7.2608,8.3725,7.9011,9.1699,8.0509,6.7267,7.5548,7.8389,7.9727,6.6147,8.8545,7.8957,8.2005,8.6183,8.7508,8.6329,9.5899,7.9963,7.4533,5.0653,8.307,8.4562,9.7969,7.6628,7.5038,8.725,9.3783,8.5743,7.3218,7.9804,8.1747,5.683,9.076,7.4043,7.9487,7.6315,7.7465,9.5772,8.7623,8.6896,7.9716,7.5116,7.4905,8.2459,7.9896,10.2145,8.5418,7.0584,8.7925,9.47,8.6968,8.0993,8.7392,7.6826,9.3796,8.1218,8.7408,10.3278,7.0931,7.6416,7.2779,7.3346,9.1002,9.0754,7.8604,7.545,8.571,8.392,9.6158,9.8834,8.4434,8.5096,8.9769,9.6049,8.4815,7.3366,10.1254,8.775,6.7786,7.8888,8.1998,6.5092,8.9557,10.0262,8.1287,8.9568,8.0948,7.8653,6.8729,8.1598,9.3798,8.1874,7.8637,8.4695,8.6213,9.0204,7.7872,6.8587,7.7117,7.3785,8.4829,9.347,8.3969,8.1123,6.8646,9.2963,5.8506,7.5797,8.397,7.6597,9.7399,9.0695,7.6553,8.7564,9.2714,S010
