SampleID,OlinkID,UniProt,Assay,Panel,NPX,LOD,QC_Warning,PlateID,SampleQC,BelowLOD,MissingFreq
S001,OID10000,P10000,Protein_000,Olink Inflammation,8.2924,7.2227,Pass,Plate_C,Pass,False,0.03125
S001,OID10001,P10001,Protein_001,Olink Cardiometabolic,7.1298,6.0339,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10002,P10002,Protein_002,Olink Neurology,9.2307,8.5569,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10003,P10003,Protein_003,Olink Oncology,8.4142,6.9708,Pass,Plate_C,Pass,False,0.0
S001,OID10004,P10004,Protein_004,Olink Inflammation,6.8576,4.7018,Pass,Plate_C,Pass,False,0.0
S001,OID10005,P10005,Protein_005,Olink Cardiometabolic,7.8754,6.3537,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10006,P10006,Protein_006,Olink Neurology,8.1206,7.0929,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10007,P10007,Protein_007,Olink Oncology,7.9044,6.6128,Pass,Plate_C,Pass,False,0.0
S001,OID10008,P10008,Protein_008,Olink Inflammation,6.897,5.1917,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10009,P10009,Protein_009,Olink Cardiometabolic,,8.5525,Pass,Plate_C,Pass,True,0.020833333333333332
S001,OID10010,P10010,Protein_010,Olink Neurology,9.0807,7.5067,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10011,P10011,Protein_011,Olink Oncology,7.9216,6.9145,Pass,Plate_C,Pass,False,0.0
S001,OID10012,P10012,Protein_012,Olink Inflammation,6.9082,6.4502,Pass,Plate_C,Pass,False,0.0
S001,OID10013,P10013,Protein_013,Olink Cardiometabolic,7.4631,6.2066,Pass,Plate_C,Pass,False,0.0
S001,OID10014,P10014,Protein_014,Olink Neurology,8.6958,7.0307,Pass,Plate_C,Pass,False,0.03125
S001,OID10015,P10015,Protein_015,Olink Oncology,9.0429,7.6682,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10016,P10016,Protein_016,Olink Inflammation,8.1175,6.925,Pass,Plate_C,Pass,False,0.0
S001,OID10017,P10017,Protein_017,Olink Cardiometabolic,8.3892,7.619,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10018,P10018,Protein_018,Olink Neurology,6.7859,6.7151,Pass,Plate_C,Pass,False,0.041666666666666664
S001,OID10019,P10019,Protein_019,Olink Oncology,9.0286,8.1899,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10020,P10020,Protein_020,Olink Inflammation,7.6023,6.2645,Warning,Plate_C,Pass,False,0.03125
S001,OID10021,P10021,Protein_021,Olink Cardiometabolic,8.7397,7.504,Pass,Plate_C,Pass,False,0.0
S001,OID10022,P10022,Protein_022,Olink Neurology,8.4008,7.7143,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10023,P10023,Protein_023,Olink Oncology,7.5012,5.905,Pass,Plate_C,Pass,False,0.03125
S001,OID10024,P10024,Protein_024,Olink Inflammation,7.3667,6.4617,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10025,P10025,Protein_025,Olink Cardiometabolic,8.6641,7.4269,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10026,P10026,Protein_026,Olink Neurology,8.4824,8.3459,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10027,P10027,Protein_027,Olink Oncology,8.3096,7.5842,Pass,Plate_C,Pass,False,0.03125
S001,OID10028,P10028,Protein_028,Olink Inflammation,10.332,8.3072,Pass,Plate_C,Pass,False,0.03125
S001,OID10029,P10029,Protein_029,Olink Cardiometabolic,8.8504,7.4682,Warning,Plate_C,Pass,False,0.010416666666666666
S001,OID10030,P10030,Protein_030,Olink Neurology,6.6058,5.3204,Pass,Plate_C,Pass,False,0.0
S001,OID10031,P10031,Protein_031,Olink Oncology,9.7943,8.374,Pass,Plate_C,Pass,False,0.0
S001,OID10032,P10032,Protein_032,Olink Inflammation,7.4886,7.714,Pass,Plate_C,Pass,True,0.041666666666666664
S001,OID10033,P10033,Protein_033,Olink Cardiometabolic,8.3538,7.0394,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10034,P10034,Protein_034,Olink Neurology,5.5277,5.6471,Pass,Plate_C,Pass,True,0.03125
S001,OID10035,P10035,Protein_035,Olink Oncology,7.842,7.0746,Pass,Plate_C,Pass,False,0.0
S001,OID10036,P10036,Protein_036,Olink Inflammation,8.6632,7.9026,Warning,Plate_C,Pass,False,0.010416666666666666
S001,OID10037,P10037,Protein_037,Olink Cardiometabolic,7.5954,6.853,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10038,P10038,Protein_038,Olink Neurology,8.0314,7.4347,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10039,P10039,Protein_039,Olink Oncology,7.6912,6.9944,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10040,P10040,Protein_040,Olink Inflammation,7.243,6.6012,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10041,P10041,Protein_041,Olink Cardiometabolic,7.577,7.0063,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10042,P10042,Protein_042,Olink Neurology,8.0439,6.4839,Pass,Plate_C,Pass,False,0.03125
S001,OID10043,P10043,Protein_043,Olink Oncology,8.9415,7.3242,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10044,P10044,Protein_044,Olink Inflammation,7.8794,6.6535,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10045,P10045,Protein_045,Olink Cardiometabolic,8.7198,7.5207,Pass,Plate_C,Pass,False,0.0
S001,OID10046,P10046,Protein_046,Olink Neurology,8.5543,7.3,Pass,Plate_C,Pass,False,0.03125
S001,OID10047,P10047,Protein_047,Olink Oncology,7.8451,6.4993,Pass,Plate_C,Pass,False,0.041666666666666664
S001,OID10048,P10048,Protein_048,Olink Inflammation,6.5793,5.1448,Pass,Plate_C,Pass,False,0.0
S001,OID10049,P10049,Protein_049,Olink Cardiometabolic,8.5275,8.0935,Pass,Plate_C,Pass,False,0.0
S001,OID10050,P10050,Protein_050,Olink Neurology,7.1825,6.4998,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10051,P10051,Protein_051,Olink Oncology,8.6097,6.9051,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10052,P10052,Protein_052,Olink Inflammation,7.047,5.4764,Pass,Plate_C,Pass,False,0.0
S001,OID10053,P10053,Protein_053,Olink Cardiometabolic,9.4163,8.8102,Pass,Plate_C,Pass,False,0.0
S001,OID10054,P10054,Protein_054,Olink Neurology,8.3461,7.0784,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10055,P10055,Protein_055,Olink Oncology,7.952,6.4093,Pass,Plate_C,Pass,False,0.03125
S001,OID10056,P10056,Protein_056,Olink Inflammation,8.2384,7.0538,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10057,P10057,Protein_057,Olink Cardiometabolic,8.0433,6.3572,Pass,Plate_C,Pass,False,0.0
S001,OID10058,P10058,Protein_058,Olink Neurology,8.0925,7.4198,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10059,P10059,Protein_059,Olink Oncology,8.6005,7.1508,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10060,P10060,Protein_060,Olink Inflammation,8.5095,7.0012,Pass,Plate_C,Pass,False,0.0
S001,OID10061,P10061,Protein_061,Olink Cardiometabolic,8.3103,7.4739,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10062,P10062,Protein_062,Olink Neurology,8.8047,6.5671,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10063,P10063,Protein_063,Olink Oncology,8.0514,7.3157,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10064,P10064,Protein_064,Olink Inflammation,8.0716,6.3441,Pass,Plate_C,Pass,False,0.0
S001,OID10065,P10065,Protein_065,Olink Cardiometabolic,8.5954,7.8582,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10066,P10066,Protein_066,Olink Neurology,8.568,7.5474,Pass,Plate_C,Pass,False,0.0
S001,OID10067,P10067,Protein_067,Olink Oncology,8.2673,6.3051,Pass,Plate_C,Pass,False,0.0
S001,OID10068,P10068,Protein_068,Olink Inflammation,8.4187,6.8542,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10069,P10069,Protein_069,Olink Cardiometabolic,8.0023,6.9565,Pass,Plate_C,Pass,False,0.0
S001,OID10070,P10070,Protein_070,Olink Neurology,9.0098,7.9183,Pass,Plate_C,Pass,False,0.0
S001,OID10071,P10071,Protein_071,Olink Oncology,7.3914,6.3983,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10072,P10072,Protein_072,Olink Inflammation,8.0983,6.3112,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10073,P10073,Protein_073,Olink Cardiometabolic,5.76,5.484,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10074,P10074,Protein_074,Olink Neurology,9.0071,8.3292,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10075,P10075,Protein_075,Olink Oncology,9.2726,7.4203,Pass,Plate_C,Pass,False,0.0625
S001,OID10076,P10076,Protein_076,Olink Inflammation,8.5201,7.7391,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10077,P10077,Protein_077,Olink Cardiometabolic,7.0424,5.9473,Pass,Plate_C,Pass,False,0.0
S001,OID10078,P10078,Protein_078,Olink Neurology,7.2335,6.0378,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10079,P10079,Protein_079,Olink Oncology,7.9994,6.5025,Warning,Plate_C,Pass,False,0.010416666666666666
S001,OID10080,P10080,Protein_080,Olink Inflammation,7.8904,6.4179,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10081,P10081,Protein_081,Olink Cardiometabolic,7.6573,7.078,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10082,P10082,Protein_082,Olink Neurology,7.8975,6.8065,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10083,P10083,Protein_083,Olink Oncology,7.8066,6.739,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10084,P10084,Protein_084,Olink Inflammation,8.0257,6.3357,Pass,Plate_C,Pass,False,0.0
S001,OID10085,P10085,Protein_085,Olink Cardiometabolic,8.4066,6.4673,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10086,P10086,Protein_086,Olink Neurology,8.9211,7.5733,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10087,P10087,Protein_087,Olink Oncology,7.9345,6.0904,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10088,P10088,Protein_088,Olink Inflammation,8.0634,7.1212,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10089,P10089,Protein_089,Olink Cardiometabolic,7.4522,6.2164,Warning,Plate_C,Pass,False,0.010416666666666666
S001,OID10090,P10090,Protein_090,Olink Neurology,8.0443,7.0517,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10091,P10091,Protein_091,Olink Oncology,8.4697,6.8345,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10092,P10092,Protein_092,Olink Inflammation,8.2516,7.0116,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10093,P10093,Protein_093,Olink Cardiometabolic,8.0316,6.8881,Pass,Plate_C,Pass,False,0.0
S001,OID10094,P10094,Protein_094,Olink Neurology,9.3924,8.1007,Pass,Plate_C,Pass,False,0.0
S001,OID10095,P10095,Protein_095,Olink Oncology,8.8281,6.7029,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10096,P10096,Protein_096,Olink Inflammation,7.3956,6.5996,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10097,P10097,Protein_097,Olink Cardiometabolic,9.5217,8.3,Pass,Plate_C,Pass,False,0.052083333333333336
S001,OID10098,P10098,Protein_098,Olink Neurology,6.8623,6.0966,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10099,P10099,Protein_099,Olink Oncology,8.8043,7.125,Warning,Plate_C,Pass,False,0.020833333333333332
S001,OID10100,P10100,Protein_100,Olink Inflammation,7.2381,6.1441,Pass,Plate_C,Pass,False,0.010416666666666666
S001,OID10101,P10101,Protein_101,Olink Cardiometabolic,9.2823,8.0123,Pass,Plate_C,Pass,False,0.041666666666666664
S001,OID10102,P10102,Protein_102,Olink Neurology,7.1718,6.4725,Pass,Plate_C,Pass,False,0.03125
S001,OID10103,P10103,Protein_103,Olink Oncology,7.8801,6.9934,Pass,Plate_C,Pass,False,0.020833333333333332
S001,OID10104,P10104,Protein_104,Olink Inflammation,8.3263,6.8385,Pass,Plate_C,Pass,False,0.020833333333333332
