Assay,OlinkID,UniProt,Panel,n_measurements,n_missing,missing_rate,below_lod_rate,qc_warning_rate
Protein_075,OID10075,P10075,Olink Oncology,96,6,0.0625,0.0625,0.0729
Protein_097,OID10097,P10097,Olink Cardiometabolic,96,5,0.0521,0.0729,0.0208
Protein_018,OID10018,P10018,Olink Neurology,96,4,0.0417,0.0833,0.0521
Protein_032,OID10032,P10032,Olink Inflammation,96,4,0.0417,0.0729,0.0521
Protein_047,OID10047,P10047,Olink Oncology,96,4,0.0417,0.0521,0.0208
Protein_150,OID10150,P10150,Olink Neurology,96,4,0.0417,0.0521,0.0208
Protein_155,OID10155,P10155,Olink Oncology,96,4,0.0417,0.0521,0.0729
Protein_178,OID10178,P10178,Olink Neurology,96,4,0.0417,0.0521,0.0312
Protein_188,OID10188,P10188,Olink Inflammation,96,4,0.0417,0.0521,0.0312
Protein_101,OID10101,P10101,Olink Cardiometabolic,96,4,0.0417,0.0417,0.0208
Protein_102,OID10102,P10102,Olink Neurology,96,3,0.0312,0.0625,0.0312
Protein_149,OID10149,P10149,Olink Cardiometabolic,96,3,0.0312,0.0625,0.0104
Protein_184,OID10184,P10184,Olink Inflammation,96,3,0.0312,0.0625,0.0417
Protein_023,OID10023,P10023,Olink Oncology,96,3,0.0312,0.0521,0.0312
Protein_028,OID10028,P10028,Olink Inflammation,96,3,0.0312,0.0521,0.0
Protein_046,OID10046,P10046,Olink Neurology,96,3,0.0312,0.0521,0.0417
Protein_055,OID10055,P10055,Olink Oncology,96,3,0.0312,0.0521,0.0208
Protein_107,OID10107,P10107,Olink Oncology,96,3,0.0312,0.0521,0.0312
Protein_134,OID10134,P10134,Olink Neurology,96,3,0.0312,0.0521,0.0417
Protein_163,OID10163,P10163,Olink Oncology,96,3,0.0312,0.0521,0.0521
Protein_000,OID10000,P10000,Olink Inflammation,96,3,0.0312,0.0417,0.0104
Protein_014,OID10014,P10014,Olink Neurology,96,3,0.0312,0.0417,0.0521
Protein_027,OID10027,P10027,Olink Oncology,96,3,0.0312,0.0417,0.0312
Protein_034,OID10034,P10034,Olink Neurology,96,3,0.0312,0.0417,0.0
Protein_130,OID10130,P10130,Olink Neurology,96,3,0.0312,0.0417,0.0
